,account_id,account_id_check,tweet_id,account_username,account_name,tweet_text,tweet_created_at,tweet_language,retweet_count,reply_count,like_count,quote_count,profile_image_url,is_reclaimable,political_party,priority
64,1507370380352176129,1507370380352176129,1536342012970008588,Sween1John,Brian John Sweeney,"RT @McFaul: Putin has now made it crystal clear. His invasion of Ukraine was never about NATO expansion, and always about Russian expansion.",2022-06-13 13:37:34,en,13007,0,0,0,https://pbs.twimg.com/profile_images/1507370673437646852/kd9EIbRP_normal.jpg,1,,2
111,31476142,31476142,1536359029274025985,JanetteD,Janette Dean🇺🇸 #StopPutin #StopTrump #StopTheGOP,RT @TimothyDSnyder: Russia has a hunger plan. Vladimir Putin is preparing to starve much of the developing world as the next stage in his w…,2022-06-13 14:45:11,en,29253,0,0,0,https://pbs.twimg.com/profile_images/1500718111313510401/2GG5RCJG_normal.jpg,1,,2
95,329155656,329155656,1536355304711012353,Floredo_,Floredo,RT @TimothyDSnyder: Russia has a hunger plan. Vladimir Putin is preparing to starve much of the developing world as the next stage in his w…,2022-06-13 14:30:23,en,29255,0,0,0,https://pbs.twimg.com/profile_images/1389599837532852235/NwLUSJXY_normal.jpg,1,,2
244,966810492495892481,966810492495892481,1536416759565238273,hassankhaderali,Hassan Khader Ali Yousef,RT @TimothyDSnyder: Russia has a hunger plan. Vladimir Putin is preparing to starve much of the developing world as the next stage in his w…,2022-06-13 18:34:35,en,29237,0,0,0,https://pbs.twimg.com/profile_images/1395545589924909063/nNlxoUR-_normal.jpg,1,,2
339,1242015180,1242015180,1536484981584928770,jayvinyoung,05 NON STOP⚡️,RT @TimothyDSnyder: Russia has a hunger plan. Vladimir Putin is preparing to starve much of the developing world as the next stage in his w…,2022-06-13 23:05:40,en,29225,0,0,0,https://pbs.twimg.com/profile_images/1366734338927308800/kkgMa_aG_normal.jpg,1,,2
